,id,type,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,start_latlng,end_latlng,average_heartrate,max_heartrate,elev_high,elev_low,average_speed,max_speed,kudos_count
36,13251693079,Run,Evening Run,10028.9,3962,3962,0,2025-01-02T21:27:14Z,[],[],146.6,153.0,0.0,0.0,2.531,3.0,0
37,13249933956,WeightTraining,Evening Weight Training,0.0,1086,1086,0,2025-01-02T21:05:11Z,[],[],100.3,117.0,0.0,0.0,0.0,0.0,0
38,13216235754,Run,Morning Run,1031.2,300,308,7.5,2024-12-29T13:54:54Z,"[-22.87223, -47.04743]","[-22.876194, -47.051504]",168.0,183.0,651.0,643.2,3.437,5.96,0
39,13215910452,Run,Morning Run,5044.9,1717,1724,37.7,2024-12-29T12:25:55Z,"[-22.872446, -47.062048]","[-22.878003, -47.062486]",174.1,190.0,666.9,633.8,2.938,4.98,0
40,13180535736,WeightTraining,Morning Weight Training,0.0,3062,3062,0,2024-12-24T10:51:22Z,[],[],114.1,139.0,0.0,0.0,0.0,0.0,0
41,13168714416,Run,Morning Run,5045.7,1789,1934,53.2,2024-12-22T13:56:51Z,"[-22.878869, -47.063038]","[-22.877403, -47.05776]",168.7,179.0,669.6,633.8,2.82,5.04,0
42,13144928441,Run,Evening Run,5024.4,1854,1854,0,2024-12-18T21:14:13Z,[],[],156.9,175.0,0.0,0.0,2.71,3.538,0
43,13137863731,WeightTraining,Afternoon Weight Training,0.0,3086,3086,0,2024-12-17T20:45:46Z,[],[],99.1,127.0,0.0,0.0,0.0,0.0,0
44,13126121920,WeightTraining,Evening Weight Training,0.0,1462,1462,0,2024-12-15T21:40:45Z,[],[],124.7,160.0,0.0,0.0,0.0,0.0,0
45,13124119475,Run,Evening Run,5024.2,1848,1848,0,2024-12-15T21:00:33Z,[],[],165.1,178.0,0.0,0.0,2.719,3.2,0
46,13113095924,Run,Morning Run,10025.6,3606,4449,3.2,2024-12-14T10:33:53Z,"[-20.37847, -40.306705]","[-20.36289, -40.296986]",168.0,178.0,8.6,5.4,2.78,5.26,0
47,13103665760,WeightTraining,Evening Weight Training,0.0,2330,2330,0,2024-12-12T23:20:48Z,[],[],106.9,142.0,0.0,0.0,0.0,0.0,0
